Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,4.0,3.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Faithfulness,5.0,3.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Multi-hop reasoning,4.5,3.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Latency (s),13.994,16.51,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,1888.5,3057.0,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),5.651,13.083,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,1314.0,2401.5,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),12.873,16.176,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,1827.5,2575.5,Flat RAG thường rẻ/nhanh hơn.
